0002-9122	American Journal of Botany	print
0011-183X	Crop Science	print
0012-9658	Ecology	print
0197-9337	Earth Surface Processes and Landforms	print
1051-0761	Ecological Applications	print
1052-7613	Aquatic Conservation: Marine and Freshwater Ecosystems	print
1551-3777	Integrated Environmental Assessment and Management	print
1612-1872	Chemistry &amp; Biodiversity	print
1932-8486	The Anatomical Record	print
2045-7758	BMC Ecology and evolution	None
2048-3694	Food and Energy Security	electronic
2150-8925	Ecosphere	electronic
2572-4517	Paleoceanography and Paleoclimatology	print
2578-4854	Conservation Science and Practice	electronic
2688-8319	Ecological Solutions and Evidence	electronic
0030-8870	Pacific science	print
0032-7786	Preslia	print
0107-055X	Nordic Journal of Botany	print
0028-0836	nature	print
0035-4902	Rhodora	print
1988-3196	Anales del Jardín Botánico de Madrid	online
2349-8234	Journal of Pharmacognosy and Phytochemistry	print
0014-3820	Evolution	print
0083-7792	Webbia	electronic
2625-8498	Vertebrate Zoology	online
0048-9697	Science of The Total Environment	print
0168-8162	Experimental and Applied Acarology	online
0304-3770	Aquatic Botany	print
1658-077X	Journal of the Saudi Society of Agricultural Sciences	print
0960-4286	Edinburgh Journal of Botany	online
2399-3642	Communications Biology	electronic
0738-9388	The Festivus	print
1756-0500	BMC research notes	None
2041-210X	Methods in Ecology and Evolution	electronic
0024-3590	Limnology and Oceanography	print
0962-8436	Philosophical Transactions of the Royal Society B: Biological Sciences	print
2316-9079	Phyllomedusa: Journal of Herpetology	online
0006-9698	Breviora	print
2084-8838	Animal Migration	electronic
0007-4977	Bulletin of Marine Science	print
1867-1594	Palaeobiodiversity and Palaeoenvironments	print
1010-061X	Journal of Evolutionary Biology	printa
1043-4534	Harvard Papers in Botany	print
2296-701X	Frontiers in Ecology and Evolution	electronic
1063-5157	Systematic biology	print
1210-0420	Thaiszia – Journal of Botany	electronic
1545-1542	Journal of Mammalogy	electronic
2162-4372	Annals of the Missouri Botanical Garden	online
0044-5134	ZOOLOGICHESKY ZHURNAL	online
0167-8809	Agriculture, Ecosystems &amp; Environment	print
2054-5703	Royal Soceity Open Science	web
1535-1459	River Research and Applications	print
0165-0521	Studies on Neotropical Fauna and Environment	print
1096-3642	Zoological Journal of the linnean Society	online
1755-0874	Plant Ecology & Diversity	print
2327-2929	Aliso	online
0028-646X	New Phytologist	print
0031-7683	Philippine Journal of Science	electronic
0038-3872	Bulletin of the Southern California Academy of Sciences	None
0173-5373	Amphibia-Reptilia	print
2332-4961	Reptiles & Amphibians	None
0031-9422	Phytochemistry	print
0176-1617	Journal of Plant Physiology	print
2071-1050	Sustainability	electronic
0006-324X	Proceedings of the Biological Society of Washington	print
0312-9764	Telopea	print
1314-3301	Nature Conservation	electronic
1054-3139	ICES Journal of Marine Science	print
1741-7007	BMC Biology	None
0011-6793	Darwiniana, nueva serie	print
0032-0889	Plant Physiology	print
0733-1347	Herpetological Monographs	print
1097-993X	Lundellia	print
2703-3090	Megataxa	web
0007-9367	Cactus and Succulent Journal	print
0974-7907	Journal of Threatened Taxa	online
1659-455X	REVMAR.	print
1672-6316	Journal of Mountain Science	print
2215-2075	Revista de Biología Tropical	electronic
0022-1112	Journal of Fish Biology	print
0367-2530	Flora	print
1863-5407	Endangered Species Research	print
1980-220X	University of São Paulo	online
0008-4301	Canadian Journal of Zoology	print
1424-2818	Diversity	electronic
0275-5947	North American Journal of Fisheries Management	print
0360-5442	Energy	print
0027-4100	Bulletin of the Museum of Comparative Zoology	None
1989-8649	Management of Biological Invasions 	electronic
0080-6234	University of São Paulo	print
0378-1127	Forest Ecology and Management	print
1462-2912	Environmental Microbiology	print
0138-9130	Scientometrics	print
0363-6445	Systematic Botany	print
0003-0090	Bulletin of the American Museum of Natural History	None
0960-9822	Current Biology	print
1806-9088	Revista Árvore	electronic
0556-3321	Pakistan Journal of Botany	print
1755-098X	Molecular ecology resources	print
2226-4701	Botanica Pacifica	print
2296-665X	Frontiers in Environmental Science	electronic
1095-5674	Journal of the Torrey Botanical Society	print
1748-9326	Environmental Research Letters	electronic
2468-2659	Plant Diversity	print
0960-3115	Biodiversity and Conservation	print
1474-0036	Edinburgh Journal of Botany	print
0277-3791	Quaternary Science Reviews	print
1280-9551	Zoosystema	print
1808-9798	South American Journal of Herpetology	None
0024-4066	Biological Journal of the Linnean Society	print
0025-3154	Journal of the Marine Biological Association of the United Kingdom	print
1095-8339	Botanical Journal of the Linnean Society	online
2050-084X	eLife	electronic
0888-8892	Conservation biology	print
1439-6092	Organisms Diversity & Evolution	print
1058-5893	International Journal of Plant Sciences	print
2150-8097	Proceedings of the VLDB Endowment	print
2223-7747	plants	print
